GOid,Molecular Function Annotation Description,Frequency
GO:0030337,"An enzyme regulator activity that increases the processivity of polymerization by DNA polymerase, by allowing the polymerase to move rapidly along DNA while remaining topologically bound to it.",2
GO:0030331,"Binding to a nuclear estrogen receptor.",2
GO:0000701,"Catalysis of the removal of purines present in mismatches, especially opposite oxidized purines, by cleaving the N-C1' glycosidic bond between the target damaged DNA base and the deoxyribose sugar. The reaction releases a free base and leaves an apurinic (AP) site.",2
GO:0035035,"Binding to an histone acetyltransferase.",2
GO:0030971,"Binding to a receptor that possesses protein tyrosine kinase activity.",2
GO:0015631,"Binding to monomeric or multimeric forms of tubulin, including microtubules.",2
GO:0008092,"Binding to a protein component of a cytoskeleton (actin, microtubule, or intermediate filament cytoskeleton).",2
GO:0003689,"Facilitating the opening of the ring structure of the PCNA complex, or any of the related sliding clamp complexes, and their closing around the DNA duplex, driven by ATP hydrolysis.",2
GO:0097472,"Cyclin-dependent catalysis of the phosphorylation of an amino acid residue in a protein, usually according to the reaction: a protein + ATP = a phosphoprotein + ADP.",2
GO:0035173,"Catalysis of the transfer of a phosphate group to a histone.",2
GO:0031593,"Binding to a protein upon poly-ubiquitination of the target protein.",2
GO:0003674,"A molecular process that can be carried out by the action of a single macromolecular machine, usually via direct physical interactions with other molecular entities. Function in this sense denotes an action, or activity, that a gene product (or a complex) performs. These actions are described from two distinct but related perspectives: (1) biochemical activity, and (2) role as a component in a larger system/process.",2
GO:0097718,"Binding to a disordered domain of a protein.",2
GO:0051087,"Binding to a chaperone protein, a class of proteins that bind to nascent or unfolded polypeptides and ensure correct folding or transport.",2
GO:0005507,"Binding to a copper (Cu) ion.",2
GO:0004519,"Catalysis of the hydrolysis of ester linkages within nucleic acids by creating internal breaks.",2
GO:0005102,"Binding to one or more specific sites on a receptor molecule, a macromolecule that undergoes combination with a hormone, neurotransmitter, drug or intracellular messenger to initiate a change in cell function.",2
GO:0030674,"The binding activity of a protein that brings together two or more macromolecules in contact, permitting those molecules to function in a coordinated way. The adaptor can bring together two proteins, or a protein and another macromolecule such as a lipid or a nucleic acid.",2
GO:0003714,"A transcription coregulator activity that represses or decreases the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Corepressors often act by altering chromatin structure and modifications. For example, one class of transcription corepressors modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators.",2
GO:0140678,"A molecular function regulator that inhibits or decreases the activity of its target via non-covalent binding that does not result in covalent modification to the target.",2
GO:0004861,"Binds to and stops, prevents or reduces the activity of a cyclin-dependent protein serine/threonine kinase.",2
GO:0035064,"Binding to a histone in which a residue has been modified by methylation.",2
GO:0003924,"Catalysis of the reaction: GTP + H2O = GDP + H+ + phosphate.",2
GO:0005525,"Binding to GTP, guanosine triphosphate.",2
GO:0008017,"Binding to a microtubule, a filament composed of tubulin monomers.",2
GO:0019904,"Binding to a specific domain of a protein.",2
GO:0000403,"Binding to a DNA segment shaped like a Y. This shape occurs when DNA contains a region of paired double-stranded DNA on one end and a region of unpaired DNA strands on the opposite end.",2
GO:0047485,"Binding to a protein N-terminus, the end of any peptide chain at which the 2-amino (or 2-imino) function of a constituent amino acid is not attached in peptide linkage to another amino-acid residue.",2
GO:0098505,"Binding to G-rich, single-stranded, telomere-associated DNA.",2
GO:0042393,"Binding to a histone, any of a group of water-soluble proteins found in association with the DNA of eukaryotic or archaeal chromosomes. They are involved in the condensation and coiling of chromosomes during cell division and have also been implicated in gene regulation and DNA replication. They may be chemically modified (methylated, acetlyated and others) to regulate gene transcription.",2
GO:0004527,"Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 3' or 5' end.",2
GO:0030145,"Binding to a manganese ion (Mn).",2
GO:1990841,"Binding to a section of chromatin that is associated with gene promoter sequences of DNA.",2
GO:0051539,"Binding to a 4 iron, 4 sulfur (4Fe-4S) cluster; this cluster consists of four iron atoms, with the inorganic sulfur atoms found between the irons and acting as bridging ligands.",2
GO:0019900,"Binding to a kinase, any enzyme that catalyzes the transfer of a phosphate group.",2
GO:0004332,"Catalysis of the reaction: D-fructose 1,6-bisphosphate = glycerone phosphate + D-glyceraldehyde-3-phosphate.",1
GO:0070061,"Binding to the D- or L-enantiomer of fructose, the ketohexose arabino-hex-2-ulose.",1
GO:0042609,"Binding to a CD4, a receptor found on the surface of T cells, monocytes and macrophages.",1
GO:0005125,"The activity of a soluble extracellular gene product that interacts with a receptor to effect a change in the activity of the receptor to control the survival, growth, differentiation and effector function of tissues and cells.",1
GO:0140826,"Enables the transfer of zinc from one side of a membrane to the other according to the reaction: H+(out) + Zn2+(in) = H+(in) + Zn2+(out).",1
GO:0005385,"Enables the transfer of zinc (Zn) ions from one side of a membrane to the other.",1
GO:0008134,"Binding to a transcription factor, a protein required to initiate or regulate transcription.",1
GO:0071535,"Binding to a RING-like zinc finger domain domain of a protein. The RING-like domain is a zinc finger domain that is related to the C3HC4 RING finger domain.",1
GO:0019789,"Catalysis of the transfer of SUMO from one protein to another via the reaction X-SUMO + Y --> Y-SUMO + X, where both X-SUMO and Y-SUMO are covalent linkages.",1
GO:0043398,"Binding to a Helix Loop Helix domain, a domain of 40-50 residues that occurs in specific DNA-binding proteins that act as transcription factors. The domain is formed of two amphipathic helices joined by a variable length linker region that can form a loop and it mediates protein dimerization.",1
GO:0001221,"Binding to a transcription coregulator, a protein involved in regulation of transcription via protein-protein interactions with transcription factors and other transcription regulatory proteins. Cofactors do not bind DNA directly, but rather mediate protein-protein interactions between regulatory transcription factors and the basal transcription machinery.",1
GO:0044388,"Binding to a small protein activating enzyme, such as ubiquitin-activating enzyme.",1
GO:0061656,"Isoenergetic transfer of SUMO from one protein to another via the reaction X-SUMO + Y -> Y-SUMO + X, where both the X-SUMO and Y-SUMO linkages are thioester bonds between the C-terminal amino acid of SUMO and a sulfhydryl side group of a cysteine residue.",1
GO:0008353,"Catalysis of the reaction: ATP + RNA polymerase II large subunit CTD heptapeptide repeat (YSPTSPS) = ADP + H+ + phosphorylated RNA polymerase II.",1
GO:0030544,"Binding to a Hsp70 protein, heat shock proteins around 70kDa in size.",1
GO:0001618,"Combining with a virus component and mediating entry of the virus into the cell.",1
GO:0008929,"Catalysis of the reaction: glycerone phosphate = methylglyoxal + phosphate.",1
GO:0004807,"Catalysis of the reaction: D-glyceraldehyde 3-phosphate = glycerone phosphate.",1
GO:0043130,"Binding to ubiquitin, a protein that when covalently bound to other cellular proteins marks them for proteolytic degradation.",1
GO:0004222,"Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which water acts as a nucleophile, one or two metal ions hold the water molecule in place, and charged amino acid side chains are ligands for the metal ions.",1
GO:0070530,"Binding to a protein upon poly-ubiquitination formed by linkages between lysine residues at position 63 in the target protein.",1
GO:0038023,"Receiving a signal and transmitting it in the cell to initiate a change in cell activity. A signal is a physical entity or change in state that is used to transfer information in order to trigger a response.",1
GO:0004888,"Combining with an extracellular or intracellular signal and transmitting the signal from one side of the membrane to the other to initiate a change in cell activity or state as part of signal transduction.",1
GO:0004618,"Catalysis of the reaction: 3-phospho-D-glycerate + ATP = 3-phospho-D-glyceroyl phosphate + ADP + H+.",1
GO:0043531,"Binding to ADP, adenosine 5'-diphosphate.",1
GO:0047134,"Catalysis of the reaction: protein-dithiol + NAD(P)+ = protein-disulfide + NAD(P)H + H+.",1
GO:0061731,"Catalysis of the formation of 2'-deoxyribonucleoside diphosphate from ribonucleoside diphosphate, using either thioredoxin disulfide or glutaredoxin disulfide as an acceptor.",1
GO:0004748,"Catalysis of the reaction: 2'-deoxyribonucleoside diphosphate + thioredoxin disulfide + H2O = ribonucleoside diphosphate + thioredoxin. Thioredoxin disulfide is the oxidized form of thioredoxin.",1
GO:0005260,"Enables passage of a chloride ion through a transmembrane channel that opens when ATP is bound by the channel complex or one of its constituent parts on the intracellular side of the plasma membrane.",1
GO:0016853,"Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5.",1
GO:0019869,"Binds to and stops, prevents, or reduces the activity of a chloride channel.",1
GO:0043225,"Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: ATP + H2O + inorganic anion(out) = ADP + phosphate + inorganic anion(in).",1
GO:0106138,"Binding to a Sec61 translocon complex.",1
GO:0140359,"Primary active transporter characterized by two nucleotide-binding domains and two transmembrane domains. Uses the energy generated from ATP hydrolysis to drive the transport of a substance across a membrane.",1
GO:0005254,"Enables the facilitated diffusion of a chloride (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.",1
GO:0015106,"Enables the transfer of bicarbonate from one side of a membrane to the other. Bicarbonate is the hydrogencarbonate ion, HCO3-.",1
GO:0030165,"Binding to a PDZ domain of a protein, a domain found in diverse signaling proteins.",1
GO:0017081,"Binds to and modulates the activity of a chloride channel.",1
GO:0015108,"Enables the transfer of chloride ions from one side of a membrane to the other.",1
GO:0042626,"Primary active transporter of a solute across a membrane, via the reaction: ATP + H2O = ADP + phosphate, to directly drive the transport of a substance across a membrane. The transport protein may be transiently phosphorylated (P-type transporters), or not (ABC-type transporters and other families of transporters). Primary active transport occurs up the solute's concentration gradient and is driven by a primary energy source.",1
GO:0008201,"Binding to heparin, a member of a group of glycosaminoglycans found mainly as an intracellular component of mast cells and which consist predominantly of alternating alpha-(1->4)-linked D-galactose and N-acetyl-D-glucosamine-6-sulfate residues.",1
GO:0019843,"Binding to a ribosomal RNA.",1
GO:0004521,"Catalysis of the hydrolysis of ester linkages within ribonucleic acid by creating internal breaks.",1
GO:0004540,"Catalysis of the hydrolysis of phosphodiester bonds in chains of RNA.",1
GO:0042277,"Binding to a peptide, an organic compound comprising two or more amino acids linked by peptide bonds.",1
GO:0019788,"Catalysis of the transfer of NEDD8 from one protein to another via the reaction X-NEDD8 + Y --> Y-NEDD8 + X, where both X-NEDD8 and Y-NEDD8 are covalent linkages.",1
GO:0097602,"Binding to a member of the cullin family, hydrophobic proteins that act as scaffolds for ubiquitin ligases (E3).",1
GO:0061663,"Catalysis of the transfer of NEDD8 to a substrate protein via the reaction X-NEDD8 + S --> X + S-NEDD8, where X is either an E2 or E3 enzyme, the X-NEDD8 linkage is a thioester bond, and the S-NEDD8 linkage is an isopeptide bond between the C-terminal amino acid of NEDD8 and the epsilon-amino group of lysine residues in the substrate.",1
GO:0098770,"Binding to a member of the FBXO protein family. Members of this family have an F-box protein motif of approximately 50 amino acids that functions as a site of protein-protein interaction.",1
GO:0002020,"Binding to a protease or a peptidase.",1
GO:0098641,"Any cadherin binding that occurs as part of the process of cell-cell adhesion.",1
GO:0005546,"Binding to phosphatidylinositol-4,5-bisphosphate, a derivative of phosphatidylinositol in which the inositol ring is phosphorylated at the 4' and 5' positions.",1
GO:0046790,"Binding to a virion, either by binding to components of the capsid or the viral envelope.",1
GO:0044548,"Binding to a S100 protein. S100 is a small calcium and zinc binding protein produced in astrocytes that is implicated in Alzheimer's disease, Down Syndrome and ALS.",1
GO:0004867,"Binds to and stops, prevents or reduces the activity of a serine-type endopeptidase.",1
GO:0019834,"Binds to and stops, prevents or reduces the activity of phospholipase A2.",1
GO:0001786,"Binding to phosphatidylserine, a class of glycophospholipids in which a phosphatidyl group is esterified to the hydroxyl group of L-serine.",1
GO:0048306,"Binding to a protein or protein complex in the presence of calcium.",1
GO:0005262,"Enables the facilitated diffusion of a calcium ion (by an energy-independent process) involving passage through a transmembrane aqueous pore or channel without evidence for a carrier-mediated mechanism.",1
GO:0005509,"Binding to a calcium ion (Ca2+).",1
GO:0005544,"Binding to a phospholipid, a class of lipids containing phosphoric acid as a mono- or diester, in the presence of calcium.",1
GO:0070064,"Binding to a proline-rich region, i.e. a region that contains a high proportion of proline residues, in a protein.",1
GO:0042826,"Binding to histone deacetylase.",1
GO:0140311,"Binding to a protein to prevent it from interacting with other partners or to inhibit its localization to the area of the cell or complex where it is active.",1
GO:0019912,"Catalysis of the reaction: ATP + a protein = ADP + a phosphoprotein; increases the activity of a cyclin-dependent protein kinase (CDK).",1
GO:0004860,"Binds to and stops, prevents or reduces the activity of a protein kinase.",1
GO:0140677,"A molecular function regulator that activates or increases the activity of its target via non-covalent binding that does not result in covalent modification to the target.",1
GO:0032553,"Binding to a ribonucleotide, any compound consisting of a ribonucleoside that is esterified with (ortho)phosphate or an oligophosphate at any hydroxyl group on the ribose moiety.",1
GO:0003896,"Catalysis of the synthesis of a short RNA primer on a DNA template, providing a free 3'-OH that can be extended by DNA-directed DNA polymerases.",1
GO:0042800,"Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 4) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 4). This reaction is the addition of up to three methyl groups to the lysine residue at position 4 of the histone H3 protein.",1
GO:0003713,"A transcription coregulator activity that activates or increases the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Coactivators often act by altering chromatin structure and modifications. For example, one class of transcription coactivators modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators. A fourth class of coactivator activity is the bridging of a DNA-binding transcription factor to the general (basal) transcription machinery. The Mediator complex, which bridges sequence-specific DNA binding transcription factors and RNA polymerase, is also a transcription coactivator.",1
GO:0061629,"Binding to a sequence-specific DNA binding RNA polymerase II transcription factor, any of the factors that interact selectively and non-covalently with a specific DNA sequence in order to modulate transcription.",1
GO:0018064,"Catalysis of the reaction: L-histidyl-[protein] + S-adenosyl-L-methionine = N(tele)-methyl-L-histidyl-[protein] + S-adenosyl-L-homocysteine.",1
GO:0046975,"Catalysis of the reaction: S-adenosyl-L-methionine + histone H3 L-lysine (position 36) = S-adenosyl-L-homocysteine + histone H3 N6-methyl-L-lysine (position 36). This reaction is the addition of a methyl group to the lysine residue at position 36 of the histone H3 protein.",1
GO:0004386,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, to drive the unwinding of a DNA or RNA helix.",1
GO:0016818,"Catalysis of the hydrolysis of any acid anhydride which contains phosphorus.",1
GO:0140658,"An activity, driven by ATP hydrolysis, that modulates the contacts between histones and DNA, resulting in a change in chromosome architecture within the nucleosomal array, leading to chromatin remodeling.",1
GO:0008139,"Binding to a nuclear localization sequence, a specific peptide sequence that acts as a signal to localize the protein within the nucleus.",1
GO:0017056,"The action of a molecule that contributes to the structural integrity of the nuclear pore complex, a protein-lined channel in the nuclear envelope that allows the transfer of macromolecules.",1
GO:0060090,"The binding activity of a molecule that brings together two or more molecules through a selective, non-covalent, often stoichiometric interaction, permitting those molecules to function in a coordinated way.",1
GO:0035091,"Binding to an inositol-containing glycerophospholipid, i.e. phosphatidylinositol (PtdIns) and its phosphorylated derivatives.",1
GO:1904713,"Binding to a beta-catenin destruction complex.",1
GO:0030276,"Binding to a clathrin heavy or light chain, the main components of the coat of coated vesicles and coated pits, and which also occurs in synaptic vesicles.",1
GO:0005096,"Binds to and increases the activity of a GTPase, an enzyme that catalyzes the hydrolysis of GTP.",1
GO:0004709,"Catalysis of the phosphorylation and activation of a MAP kinase kinase; each MAP kinase kinase can be phosphorylated by any of several MAP kinase kinase kinases.",1
GO:0051018,"Binding to a protein kinase A.",1
GO:0036479,"Binds to and stops, prevents or reduces the activity of peroxidase.",1
GO:0017075,"Binding to a syntaxin-1 SNAP receptor.",1
GO:0039706,"Binding to a coreceptor. A coreceptor acts in cooperation with a primary receptor to transmit a signal within the cell.",1
GO:0030159,"The binding activity of a molecule that provides a physical support for the assembly of a multiprotein receptor signaling complex.",1
GO:0034211,"GTP dependent catalysis of the reaction: ATP + a protein serine/threonine = ADP + protein serine/threonine phosphate.",1
GO:0031267,"Binding to a small monomeric GTPase.",1
GO:0004706,"Catalysis of the reaction: JNKK + ATP = JNKK phosphate + ADP. This reaction is the phosphorylation and activation of JUN kinase kinases (JNKKs).",1
GO:0044325,"Binding to a transmembrane transporter, a protein or protein complex that enables the transfer of a substance, usually a specific substance or a group of related substances, from one side of a membrane to the other.",1
GO:0000149,"Binding to a SNARE (soluble N-ethylmaleimide-sensitive factor attached protein receptor) protein.",1
GO:0000150,"Catalysis of the identification and base-pairing of homologous sequences between single-stranded DNA and double-stranded DNA.",1
GO:0003676,"Binding to a nucleic acid.",1
GO:0017116,"Catalysis of the reaction: ATP + H2O = ADP + phosphate, in the presence of single-stranded DNA; drives the unwinding of a DNA helix.",1
GO:0008047,"Binds to and increases the activity of an enzyme.",1
GO:0061860,"Facilitating the opening of the ring structure of the PCNA complex, or any of the related sliding clamp complexes, and their removal from the DNA duplex, driven by ATP hydrolysis.",1
GO:0043565,"Binding to DNA of a specific nucleotide composition, e.g. GC-rich DNA binding, or with a specific sequence motif or type of DNA e.g. promotor binding or rDNA binding.",1
GO:0051059,"Binding to NF-kappaB, a transcription factor for eukaryotic RNA polymerase II promoters.",1
GO:0019903,"Binding to a protein phosphatase.",1
GO:0048256,"Catalysis of the cleavage of a flap structure in DNA, but not other DNA structures; processes the ends of Okazaki fragments in lagging strand DNA synthesis.",1
GO:0008409,"Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 5' end.",1
GO:0017108,"Catalysis of the cleavage of a 5' flap structure in DNA, but not other DNA structures; processes the 5' ends of Okazaki fragments in lagging strand DNA synthesis.",1
GO:0004523,"Catalysis of the endonucleolytic cleavage of RNA in RNA-DNA hybrids to 5'-phosphomonoesters.",1
GO:0008309,"Catalysis of the sequential cleavage of mononucleotides from a free 5' or 3' terminus of a double-stranded DNA molecule.",1
GO:0023026,"Binding to a class II major histocompatibility complex.",1
GO:0003886,"Catalysis of the reaction: S-adenosyl-L-methionine + DNA containing cytosine = S-adenosyl-L-homocysteine + DNA containing 5-methylcytosine.",1
GO:0009008,"Catalysis of the transfer of a methyl group to a DNA molecule.",1
GO:0008327,"Binding to a methylated cytosine/guanine dinucleotide.",1
GO:0019237,"Binding to a centromere, a region of chromosome where the spindle fibers attach during mitosis and meiosis.",1
GO:0032137,"Binding to a double-stranded DNA region containing a G/T mispair.",1
GO:0030983,"Binding to a double-stranded DNA region containing one or more mismatches.",1
GO:0051920,"Catalysis of the reaction: [protein]-dithol + ROOH = [protein]-disulfide + H2O + ROH.",1
GO:0047499,"Catalysis of the reaction: phosphatidylcholine + H2O = 1-acylglycerophosphocholine + a carboxylate. This reaction does not require Ca2+.",1
GO:0004602,"Catalysis of the reaction: 2 glutathione + hydrogen peroxide = oxidized glutathione + 2 H2O.",1
GO:0004623,"Catalysis of the reaction: a 1,2-diacyl-sn-glycero-3-phospholipid + H2O = 1-acyl-sn-glycero-3-phospholipid + a fatty acid. This reaction removes the fatty acid attached to the sn2-position. Substrates include phosphatidylcholine, phosphatidylethanolamine, choline plasmalogen and phosphatides.",1
GO:0047184,"Catalysis of the reaction: 1-acyl-sn-glycero-3-phosphocholine + acyl-CoA = phosphatidylcholine + CoA.",1
GO:0051020,"Binding to a GTPase, any enzyme that catalyzes the hydrolysis of GTP.",1
GO:0001227,"A DNA-binding transcription factor activity that represses or decreases the transcription of specific gene sets transcribed by RNA polymerase II.",1
GO:0004634,"Catalysis of the reaction: 2-phospho-D-glycerate = phosphoenolpyruvate + H2O.",1
GO:0000977,"Binding to a specific sequence of DNA that is part of a regulatory region that controls the transcription of a gene or cistron by RNA polymerase II.",1
GO:0001222,"Binding to a transcription corepressor, a protein involved in negative regulation of transcription via protein-protein interactions with transcription factors and other proteins that negatively regulate transcription. Transcription corepressors do not bind DNA directly, but rather mediate protein-protein interactions between repressing transcription factors and the basal transcription machinery.",1
GO:0001671,"Binds to and increases the activity of an ATP hydrolysis activity.",1
GO:0008296,"Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of a DNA molecule.",1
GO:0019828,"Binds to and stops, prevents or reduces the activity of aspartic-type endopeptidases.",1
GO:0004365,"Catalysis of the reaction: D-glyceraldehyde 3-phosphate + phosphate + NAD+ = 3-phospho-D-glyceroyl phosphate + NADH + H+.",1
GO:0051287,"Binding to nicotinamide adenine dinucleotide, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NAD+, or the reduced form, NADH.",1
GO:0050661,"Binding to nicotinamide-adenine dinucleotide phosphate, a coenzyme involved in many redox and biosynthetic reactions; binding may be to either the oxidized form, NADP+, or the reduced form, NADPH.",1
GO:0035605,"Catalysis of the transfer of a nitric oxide (NO) group to a sulphur atom within a cysteine residue of a protein.",1
GO:0004619,"Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D-glycerate.",1
GO:0046538,"Catalysis of the reaction: 2-phospho-D-glycerate = 3-phospho-D-glycerate; this reaction requires the cofactor 2,3-bisphosphoglycerate.",1
GO:0004082,"Catalysis of the reaction: 3-phospho-D-glyceroyl phosphate = 2,3-bisphospho-D-glycerate.",1
GO:0016787,"Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc.",1
GO:0008310,"Catalysis of the sequential cleavage of mononucleotides from a free 3' terminus of a single-stranded DNA molecule.",1
GO:0009378,"Unwinding a DNA helix of DNA containing four-way junctions, including Holliday junctions, driven by ATP hydrolysis.",1
GO:0008408,"Catalysis of the hydrolysis of ester linkages within nucleic acids by removing nucleotide residues from the 3' end.",1
GO:1905773,"Binding to 8-hydroxy-2'-deoxyguanosine an oxidized purine residue found in damaged DNA.",1
GO:0051880,"Binding to G-quadruplex DNA structures, in which groups of four guanines adopt a flat, cyclic Hoogsteen hydrogen-bonding arrangement known as a guanine tetrad. The stacking of guanine tetrads results in G-quadruplex DNA structures. G-quadruplex DNA can form under physiological conditions from some G-rich sequences, such as those found in telomeres, immunoglobulin switch regions, gene promoters, fragile X repeats, and the dimerization domain in the human immunodeficiency virus (HIV) genome.",1
GO:0070337,"Binding to a 3'-flap structure in DNA. A DNA flap structure is one in which a single-stranded 3'-end of DNA or RNA protrudes from a double-stranded DNA molecule.",1
GO:0043138,"Unwinding a DNA helix in the direction 5' to 3', driven by ATP hydrolysis.",1
GO:0000405,"Binding to DNA segment that contains a bubble. A bubble occurs when DNA contains a region of unpaired, single-stranded DNA flanked on both sides by regions of paired, double-stranded DNA.",1
GO:0003678,"Unwinding of a DNA helix, driven by ATP hydrolysis.",1
GO:0061749,"Unwinding a DNA helix containing forked DNA, driven by ATP hydrolysis.",1
GO:0061821,"Binding to a telomeric D-loop. A telomeric D-loop is a three-stranded DNA displacement loop that forms at the site where the telomeric 3' single-stranded DNA overhang (formed of the repeat sequence TTAGGG in mammals) is tucked back inside the double-stranded component of telomeric DNA molecule, thus forming a t-loop or telomeric-loop and protecting the chromosome terminus.",1
GO:0000400,"Binding to a DNA segment containing four-way junctions, also known as Holliday junctions, a structure where two DNA double strands are held together by reciprocal exchange of two of the four strands, one strand each from the two original helices.",1
GO:0061849,"Binding to telomeric G-quadruplex DNA structures, in which groups of four guanines adopt a flat, cyclic Hoogsteen hydrogen-bonding arrangement known as a guanine tetrad. The stacking of guanine tetrads results in G-quadruplex DNA structures in telomeres.",1
GO:0051082,"Binding to an unfolded protein.",1
GO:0002039,"Binding to one of the p53 family of proteins.",1
GO:0005176,"Binding to a protein-tyrosine kinase receptor Neu/ErbB-2/HER2.",1
GO:0050321,"Catalysis of the reaction: ATP + tau-protein = ADP + O-phospho-tau-protein.",1
GO:0051879,"Binding to Hsp90 proteins, any of a group of heat shock proteins around 90kDa in size.",1
GO:0046875,"Binding to an ephrin receptor.",1
GO:0043125,"Binding to the protein-tyrosine kinase receptor ErbB-3/HER3.",1
GO:0048156,"Binding to tau protein. tau is a microtubule-associated protein, implicated in Alzheimer's disease, Down Syndrome and ALS.",1
